nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
80;320;5;9;0;1;3;0;true;12460553;2;10833075;44484;0;0
80;320;10;9;0;1;3;0;true;12460558;2;9156301;6059040;0;0
90;320;10;9;0;1;3;0;true;12509492;2;9210300;6149760;0;0
100;320;10;9;0;1;3;0;true;12558436;2;9249340;6149760;0;0
80;320;1;12;0;1;3;0;true;16610940;2;33503217;294084;0;0
90;320;1;12;0;1;3;0;true;16659878;2;33606950;299644;0;0
100;320;1;12;0;1;3;0;true;16708816;2;33710683;305204;0;0
110;320;1;12;0;1;3;0;true;16757752;2;33814417;310764;0;0
120;320;1;12;0;1;3;0;true;16806690;2;33918150;316324;0;0
80;320;1;9;1;1;3;0;true;12460557;3;24818278;4996864;0;0
90;320;1;9;1;1;3;0;true;12509495;3;24922011;32;0;0
100;320;1;9;1;1;3;0;true;12558433;3;25025744;55600;0;0
110;320;1;9;1;1;3;0;true;12607369;3;25129478;14400;0;0
120;320;1;9;1;1;3;0;true;12656307;3;25233211;66720;0;0
140;320;1;9;1;1;3;0;true;12754183;3;25440678;77840;0;0
150;320;1;9;1;1;3;0;true;12803119;3;25544411;83400;0;0
80;320;2;9;1;1;3;0;true;12460550;3;13111215;44480;0;0
90;320;2;9;1;1;3;0;true;12509488;3;13163282;50040;0;0
100;320;2;9;1;1;3;0;true;12558426;3;13215349;55600;0;0
110;320;2;9;1;1;3;0;true;12607363;3;13267415;61160;0;0
120;320;2;9;1;1;3;0;true;12656301;3;13319482;66720;0;0
130;320;2;9;1;1;3;0;true;12705237;3;13371549;72280;0;0
140;320;2;9;1;1;3;0;true;12754175;3;13423615;77840;0;0
150;320;2;9;1;1;3;0;true;12803112;3;13475682;230400;0;0
80;320;4;9;1;1;3;0;true;12460552;3;8615494;57600;0;0
80;320;5;9;1;1;3;0;true;12460553;3;10604470;44480;0;0
110;320;5;9;1;1;3;0;true;12607364;3;10667670;4;0;0
80;320;10;9;1;1;3;0;true;12460558;3;8979789;6653760;0;0
90;320;5;12;1;1;3;0;true;16659865;3;14103875;4;0;0
80;320;4;9;0;0;4;0;true;22151342;1;6877686;14400;0;0
