nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
120;320;2;9;0;0;4;0;true;22499330;1;10532476;6105792;0;0
130;320;2;9;0;0;4;0;true;22586330;1;10580726;6105792;0;0
140;320;2;9;0;0;4;0;true;22673330;1;10628976;6105792;0;0
150;320;2;9;0;0;4;0;true;22760330;1;10677226;6105792;0;0
160;320;2;9;0;0;4;0;true;22847330;1;10725476;6105792;0;0
80;320;4;9;0;0;4;0;true;22151342;1;6877686;6105984;0;0
90;320;4;9;0;0;4;0;true;22220942;1;6900786;6105984;0;0
100;320;4;9;0;0;4;0;true;22325342;1;6935436;6105984;0;0
110;320;4;9;0;0;4;0;true;22394942;1;6958536;6105984;0;0
120;320;4;9;0;0;4;0;true;22499342;1;6993186;6105984;0;0
130;320;4;9;0;0;4;0;true;22568942;1;7016286;6105984;0;0
140;320;4;9;0;0;4;0;true;22673342;1;7050936;6105984;0;0
150;320;4;9;0;0;4;0;true;22742942;1;7074036;6105984;0;0
160;320;4;9;0;0;4;0;true;22847342;1;7108686;6105984;0;0
80;320;5;9;0;0;4;0;true;22151341;1;8423422;5875680;0;0
80;320;10;9;0;0;4;0;true;22151356;1;7170527;6361440;0;0
90;320;10;9;0;0;4;0;true;22238356;1;7211027;6361440;0;0
100;320;10;9;0;0;4;0;true;22325356;1;7248402;6361440;0;0
80;320;1;12;0;0;4;0;true;29529761;1;25501013;2040032;0;0
90;320;1;12;0;0;4;0;true;29616761;1;25588013;2040032;0;0
100;320;1;12;0;0;4;0;true;29703761;1;25675013;2040032;0;0
110;320;1;12;0;0;4;0;true;29790761;1;25762013;2040032;0;0
120;320;1;12;0;0;4;0;true;29877761;1;25849013;2040032;0;0
130;320;1;12;0;0;4;0;true;29964761;1;25936013;2040032;0;0
140;320;1;12;0;0;4;0;true;30051761;1;26023013;2040032;0;0
150;320;1;12;0;0;4;0;true;30138761;1;26110013;2040032;0;0
160;320;1;12;0;0;4;0;true;30225761;1;26197013;2040032;0;0
80;320;1;9;1;0;4;0;true;22151327;2;18912539;4824032;0;0
