nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
120;640;4;12;0;1;3;0;true;12509495;2;25438613;1512032;0;0
120;640;4;12;0;1;3;0;true;12558433;2;25542346;1512032;0;0
120;640;4;12;0;1;3;0;true;12607369;2;25646080;1512032;0;0
120;640;4;12;0;1;3;0;true;12460550;2;13387820;6105792;0;0
120;640;4;12;0;1;3;0;true;12460552;2;8772099;44484;0;0
120;640;4;12;0;1;3;0;true;12754175;2;8929499;14400;0;0
120;640;4;12;0;1;3;0;true;12460553;2;10833075;44484;0;0
120;640;4;12;0;1;3;0;true;12460558;2;9156301;6059040;0;0
120;640;4;12;0;1;3;0;true;12509492;2;9210300;6149760;0;0
120;640;4;12;0;1;3;0;true;12558436;2;9249340;6149760;0;0
120;640;4;12;0;1;3;0;true;16610940;2;33503217;294084;0;0
120;640;4;12;0;1;3;0;true;16659878;2;33606950;299644;0;0
120;640;4;12;0;1;3;0;true;16708816;2;33710683;305204;0;0
120;640;4;12;0;1;3;0;true;16757752;2;33814417;310764;0;0
120;640;4;12;0;1;3;0;true;16806690;2;33918150;316324;0;0
