nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
140;640;10;9;0;0;3;0;true;49341430;1;37646593;230400;0;0
150;640;10;9;0;0;3;0;true;49390373;1;37669593;230400;0;0
160;640;10;9;0;0;3;0;true;49439307;1;37692593;230400;0;0
80;320;1;12;0;0;3;0;true;16610940;1;34001349;57600;0;0
90;320;1;12;0;0;3;0;true;16659878;1;34117349;57600;0;0
100;320;1;12;0;0;3;0;true;16708816;1;34233349;57600;0;0
110;320;1;12;0;0;3;0;true;16757752;1;34349349;57600;0;0
120;320;1;12;0;0;3;0;true;16806690;1;34465349;57600;0;0
130;320;1;12;0;0;3;0;true;16855628;1;34581349;57600;0;0
140;320;1;12;0;0;3;0;true;16904566;1;34697349;57600;0;0
150;320;1;12;0;0;3;0;true;16953502;1;34813349;57600;0;0
160;320;1;12;0;0;3;0;true;17002440;1;34929349;57600;0;0
80;640;1;12;0;0;3;0;true;65776952;1;133221359;24715264;0;0
90;640;1;12;0;0;3;0;true;65825890;1;133337359;24715264;0;0
100;640;1;12;0;0;3;0;true;65874828;1;133453359;24715264;0;0
110;640;1;12;0;0;3;0;true;65923764;1;133569359;24715264;0;0
120;640;1;12;0;0;3;0;true;65972702;1;133685359;24715264;0;0
130;640;1;12;0;0;3;0;true;66021640;1;133801359;24715264;0;0
140;640;1;12;0;0;3;0;true;66070578;1;133917359;24715264;0;0
150;640;1;12;0;0;3;0;true;66119514;1;134033359;24715264;0;0
160;640;1;12;0;0;3;0;true;66168452;1;134149359;24715264;0;0
80;320;2;12;0;0;3;0;true;16610938;1;18209706;8208192;0;0
90;320;2;12;0;0;3;0;true;16659876;1;18274040;8208192;0;0
100;320;2;12;0;0;3;0;true;16708814;1;18338374;8208192;0;0
110;320;2;12;0;0;3;0;true;16757751;1;18402706;8208192;0;0
120;320;2;12;0;0;3;0;true;16806689;1;18467040;8208192;0;0
130;320;2;12;0;0;3;0;true;16855625;1;18531374;8208192;0;0
140;320;2;12;0;0;3;0;true;16904563;1;18595706;8208192;0;0
150;320;2;12;0;0;3;0;true;16953500;1;18660040;8208192;0;0
160;320;2;12;0;0;3;0;true;17002438;1;18724374;8208192;0;0
80;640;2;12;0;0;3;0;true;65776960;1;71294722;32899392;0;0
90;640;2;12;0;0;3;0;true;65825898;1;71359056;32899392;0;0
100;640;2;12;0;0;3;0;true;65874836;1;71423390;32899392;0;0
110;640;2;12;0;0;3;0;true;65923773;1;71487722;32899392;0;0
120;640;2;12;0;0;3;0;true;65972711;1;71552056;32899392;0;0
130;640;2;12;0;0;3;0;true;66021647;1;71616390;32899392;0;0
140;640;2;12;0;0;3;0;true;66070585;1;71680722;32899392;0;0
150;640;2;12;0;0;3;0;true;66119522;1;71745056;32899392;0;0
160;640;2;12;0;0;3;0;true;66168460;1;71809390;32899392;0;0
80;320;4;12;0;0;3;0;true;16610940;1;12124294;8208384;0;0
90;320;4;12;0;0;3;0;true;16650087;1;12155094;8208384;0;0
100;320;4;12;0;0;3;0;true;16708812;1;12201294;8208384;0;0
110;320;4;12;0;0;3;0;true;16747963;1;12232094;8208384;0;0
120;320;4;12;0;0;3;0;true;16806687;1;12278294;8208384;0;0
130;320;4;12;0;0;3;0;true;16845838;1;12309094;8208384;0;0
140;320;4;12;0;0;3;0;true;16904563;1;12355294;8208384;0;0
150;320;4;12;0;0;3;0;true;16943714;1;12386094;8208384;0;0
160;320;4;12;0;0;3;0;true;17002438;1;12432294;8208384;0;0
80;640;4;12;0;0;3;0;true;65776954;1;47573073;307200;0;0
90;640;4;12;0;0;3;0;true;65816101;1;47603873;307200;0;0
100;640;4;12;0;0;3;0;true;65874826;1;47650073;307200;0;0
110;640;4;12;0;0;3;0;true;65913977;1;47680873;307200;0;0
120;640;4;12;0;0;3;0;true;65972701;1;47727073;307200;0;0
130;640;4;12;0;0;3;0;true;66011852;1;47757873;307200;0;0
