nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
160;320;1;9;0;0;3;0;true;12852057;1;26661012;1512032;0;0
160;640;1;9;0;0;3;0;true;49439281;1;101076020;172800;0;0
160;320;1;12;0;0;3;0;true;17002440;1;34929349;57600;0;0
160;640;1;12;0;0;3;0;true;66168452;1;134149359;24715264;0;0
160;640;1;9;1;0;3;0;true;49439281;2;99006917;32;0;0
160;320;1;12;1;0;3;0;true;17002440;2;34240248;32;0;0
110;640;1;12;0;1;3;0;true;65923764;2;131834426;982764;0;0
120;640;1;12;0;1;3;0;true;65972702;2;131938159;988324;0;0
130;640;1;12;0;1;3;0;true;66021640;2;132041892;993884;0;0
140;640;1;12;0;1;3;0;true;66070578;2;132145626;999444;0;0
150;640;1;12;0;1;3;0;true;66119514;2;132249359;1005004;0;0
160;640;1;12;0;1;3;0;true;66168452;2;132353092;1010564;0;0
160;640;1;9;0;0;3;1;true;107919623;1;205466063;71956864;0;0
160;640;2;9;0;0;3;1;true;107919623;1;108529447;230400;0;0
80;320;5;9;0;0;3;1;true;27080648;1;22336243;14400;0;0
90;320;5;9;0;0;3;1;true;27129587;1;22369577;14400;0;0
100;320;5;9;0;0;3;1;true;27178526;1;22402911;14400;0;0
110;320;5;9;0;0;3;1;true;27227459;1;22436243;14400;0;0
120;320;5;9;0;0;3;1;true;27276398;1;22469577;14400;0;0
130;320;5;9;0;0;3;1;true;27325337;1;22502911;14400;0;0
140;320;5;9;0;0;3;1;true;27374276;1;22536243;14400;0;0
150;320;5;9;0;0;3;1;true;27423209;1;22569577;14400;0;0
160;320;5;9;0;0;3;1;true;27472148;1;22602911;14400;0;0
160;640;1;12;0;0;3;1;true;144142222;1;273336078;95985664;0;0
160;320;2;12;0;0;3;1;true;36495904;1;36862731;76800;0;0
80;640;5;12;0;0;3;1;true;143750736;1;117970915;76800;0;0
90;640;5;12;0;0;3;1;true;143799675;1;118004249;76800;0;0
100;640;5;12;0;0;3;1;true;143848614;1;118037583;76800;0;0
110;640;5;12;0;0;3;1;true;143897547;1;118070915;76800;0;0
120;640;5;12;0;0;3;1;true;143946486;1;118104249;76800;0;0
130;640;5;12;0;0;3;1;true;143995425;1;118137583;76800;0;0
140;640;5;12;0;0;3;1;true;144044364;1;118170915;76800;0;0
150;640;5;12;0;0;3;1;true;144093297;1;118204249;76800;0;0
160;640;5;12;0;0;3;1;true;144142236;1;118237583;76800;0;0
80;640;5;12;1;0;3;1;true;143750736;2;118073580;76800;0;0
90;640;5;12;1;0;3;1;true;143799675;2;118106914;76800;0;0
100;640;5;12;1;0;3;1;true;143848614;2;118140248;76800;0;0
110;640;5;12;1;0;3;1;true;143897547;2;118173580;76800;0;0
120;640;5;12;1;0;3;1;true;143946486;2;118206914;76800;0;0
130;640;5;12;1;0;3;1;true;143995425;2;118240248;76800;0;0
140;640;5;12;1;0;3;1;true;144044364;2;118273580;76800;0;0
150;640;5;12;1;0;3;1;true;144093297;2;118306914;76800;0;0
160;640;5;12;1;0;3;1;true;144142236;2;118340248;76800;0;0
80;640;1;9;0;1;3;1;true;107528123;2;203239930;735684;0;0
90;640;1;9;0;1;3;1;true;107577061;2;203343663;741244;0;0
100;640;1;9;0;1;3;1;true;107625999;2;203447396;746804;0;0
110;640;1;9;0;1;3;1;true;107674935;2;203551130;752364;0;0
120;640;1;9;0;1;3;1;true;107723873;2;203654863;757924;0;0
130;640;1;9;0;1;3;1;true;107772811;2;203758596;763484;0;0
140;640;1;9;0;1;3;1;true;107821749;2;203862330;769044;0;0
150;640;1;9;0;1;3;1;true;107870685;2;203966063;774604;0;0
160;640;1;9;0;1;3;1;true;107919623;2;204069796;780164;0;0
110;640;1;12;0;1;3;1;true;143897534;2;271021145;982764;0;0
120;640;1;12;0;1;3;1;true;143946472;2;271124878;988324;0;0
130;640;1;12;0;1;3;1;true;143995410;2;271228611;993884;0;0
140;640;1;12;0;1;3;1;true;144044348;2;271332345;999444;0;0
150;640;1;12;0;1;3;1;true;144093284;2;271436078;1005004;0;0
160;640;1;12;0;1;3;1;true;144142222;2;271539811;1010564;0;0
160;640;2;12;0;1;3;1;true;144142230;2;142566559;307200;0;0
110;640;1;9;1;1;3;1;true;107674935;3;201481129;61164;0;0
120;640;1;9;1;1;3;1;true;107723873;3;201584862;66724;0;0
130;640;1;9;1;1;3;1;true;107772811;3;201688595;72284;0;0
90;320;2;9;1;1;3;1;true;27129582;3;26766157;4;0;0
140;640;10;9;1;1;3;1;true;107821816;3;74582059;4;0;0
150;640;10;9;1;1;3;1;true;107870759;3;74592792;4;0;0
160;640;10;9;1;1;3;1;true;107919693;3;74603525;4;0;0
