nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
160;320;1;9;0;0;3;0;true;12852057;1;26661012;1512032;0;0
160;640;1;9;0;0;3;0;true;49439281;1;101076020;172800;0;0
160;320;1;12;0;0;3;0;true;17002440;1;34929349;57600;0;0
160;640;1;12;0;0;3;0;true;66168452;1;134149359;24715264;0;0
80;640;10;12;0;0;3;0;true;65777006;1;49950116;76800;0;0
90;640;10;12;0;0;3;0;true;65825940;1;49973116;76800;0;0
100;640;10;12;0;0;3;0;true;65874884;1;49996116;76800;0;0
110;640;10;12;0;0;3;0;true;65923817;1;50019116;76800;0;0
120;640;10;12;0;0;3;0;true;65972761;1;50042116;76800;0;0
130;640;10;12;0;0;3;0;true;66021695;1;50065116;76800;0;0
140;640;10;12;0;0;3;0;true;66070629;1;50088116;76800;0;0
150;640;10;12;0;0;3;0;true;66119572;1;50111116;76800;0;0
160;640;10;12;0;0;3;0;true;66168506;1;50134116;76800;0;0
160;640;1;9;1;0;3;0;true;49439281;2;99006917;32;0;0
160;320;1;12;1;0;3;0;true;17002440;2;34240248;32;0;0
110;640;1;12;0;1;3;0;true;65923764;2;131834426;982764;0;0
120;640;1;12;0;1;3;0;true;65972702;2;131938159;988324;0;0
130;640;1;12;0;1;3;0;true;66021640;2;132041892;993884;0;0
140;640;1;12;0;1;3;0;true;66070578;2;132145626;999444;0;0
150;640;1;12;0;1;3;0;true;66119514;2;132249359;1005004;0;0
160;640;1;12;0;1;3;0;true;66168452;2;132353092;1010564;0;0
90;320;5;12;1;1;3;0;true;16659865;3;14103875;4;0;0
100;320;5;12;1;1;3;0;true;16708804;3;14124942;4;0;0
110;320;5;12;1;1;3;0;true;16757737;3;14146008;4;0;0
120;320;5;12;1;1;3;0;true;16806676;3;14167075;4;0;0
130;320;5;12;1;1;3;0;true;16855615;3;14188142;4;0;0
150;320;5;12;1;1;3;0;true;16953487;3;14230275;4;0;0
160;320;5;12;1;1;3;0;true;17002426;3;14251342;4;0;0
160;640;1;9;0;0;3;1;true;107919623;1;205466063;71956864;0;0
160;640;2;9;0;0;3;1;true;107919623;1;108529447;230400;0;0
80;320;5;9;0;0;3;1;true;27080648;1;22336243;14400;0;0
90;320;5;9;0;0;3;1;true;27129587;1;22369577;14400;0;0
100;320;5;9;0;0;3;1;true;27178526;1;22402911;14400;0;0
110;320;5;9;0;0;3;1;true;27227459;1;22436243;14400;0;0
120;320;5;9;0;0;3;1;true;27276398;1;22469577;14400;0;0
130;320;5;9;0;0;3;1;true;27325337;1;22502911;14400;0;0
140;320;5;9;0;0;3;1;true;27374276;1;22536243;14400;0;0
150;320;5;9;0;0;3;1;true;27423209;1;22569577;14400;0;0
160;320;5;9;0;0;3;1;true;27472148;1;22602911;14400;0;0
160;640;1;12;0;0;3;1;true;144142222;1;273336078;95985664;0;0
160;320;2;12;0;0;3;1;true;36495904;1;36862731;76800;0;0
120;640;4;12;0;0;3;1;true;143946485;1;97160559;76800;0;0
